virtual_test_id,test_case,test_class,test_method,variable,line,virtual_status,slice_size,slice_path,extra_slice_paths
testReducedFactory_int_int_f_L282_F_13,org.apache.commons.lang3.math.FractionTest::testReducedFactory_int_int,org.apache.commons.lang3.math.FractionTest,testReducedFactory_int_int,f,282,Virtual_Pass,29,/opt/resq/resQ_outputs/work/Lang_22b/step2_slicing/_slicer4j_failing/testReducedFactory_int_int_f_L282_F_13/slice.log,
testReducedFactory_int_int_f_L283_F_14,org.apache.commons.lang3.math.FractionTest::testReducedFactory_int_int,org.apache.commons.lang3.math.FractionTest,testReducedFactory_int_int,f,283,Virtual_Pass,29,/opt/resq/resQ_outputs/work/Lang_22b/step2_slicing/_slicer4j_failing/testReducedFactory_int_int_f_L283_F_14/slice.log,
testReducedFactory_int_int_f_L303_F_15,org.apache.commons.lang3.math.FractionTest::testReducedFactory_int_int,org.apache.commons.lang3.math.FractionTest,testReducedFactory_int_int,f,303,Virtual_Pass,13,/opt/resq/resQ_outputs/work/Lang_22b/step2_slicing/_slicer4j_failing/testReducedFactory_int_int_f_L303_F_15/slice.log,
testReducedFactory_int_int_f_L304_F_16,org.apache.commons.lang3.math.FractionTest::testReducedFactory_int_int,org.apache.commons.lang3.math.FractionTest,testReducedFactory_int_int,f,304,Virtual_Pass,13,/opt/resq/resQ_outputs/work/Lang_22b/step2_slicing/_slicer4j_failing/testReducedFactory_int_int_f_L304_F_16/slice.log,
testReducedFactory_int_int_f_L307_F_17,org.apache.commons.lang3.math.FractionTest::testReducedFactory_int_int,org.apache.commons.lang3.math.FractionTest,testReducedFactory_int_int,f,307,Virtual_Pass,24,/opt/resq/resQ_outputs/work/Lang_22b/step2_slicing/_slicer4j_failing/testReducedFactory_int_int_f_L307_F_17/slice.log,
testReducedFactory_int_int_f_L308_F_18,org.apache.commons.lang3.math.FractionTest::testReducedFactory_int_int,org.apache.commons.lang3.math.FractionTest,testReducedFactory_int_int,f,308,Virtual_Pass,24,/opt/resq/resQ_outputs/work/Lang_22b/step2_slicing/_slicer4j_failing/testReducedFactory_int_int_f_L308_F_18/slice.log,
testReducedFactory_int_int_f_L311_F_19,org.apache.commons.lang3.math.FractionTest::testReducedFactory_int_int,org.apache.commons.lang3.math.FractionTest,testReducedFactory_int_int,f,311,Virtual_Pass,25,/opt/resq/resQ_outputs/work/Lang_22b/step2_slicing/_slicer4j_failing/testReducedFactory_int_int_f_L311_F_19/slice.log,
testReducedFactory_int_int_f_L312_F_20,org.apache.commons.lang3.math.FractionTest::testReducedFactory_int_int,org.apache.commons.lang3.math.FractionTest,testReducedFactory_int_int,f,312,Virtual_Pass,25,/opt/resq/resQ_outputs/work/Lang_22b/step2_slicing/_slicer4j_failing/testReducedFactory_int_int_f_L312_F_20/slice.log,
testReducedFactory_int_int_f_L315_F_21,org.apache.commons.lang3.math.FractionTest::testReducedFactory_int_int,org.apache.commons.lang3.math.FractionTest,testReducedFactory_int_int,f,315,Virtual_Pass,27,/opt/resq/resQ_outputs/work/Lang_22b/step2_slicing/_slicer4j_failing/testReducedFactory_int_int_f_L315_F_21/slice.log,
testReducedFactory_int_int_f_L316_F_22,org.apache.commons.lang3.math.FractionTest::testReducedFactory_int_int,org.apache.commons.lang3.math.FractionTest,testReducedFactory_int_int,f,316,Virtual_Pass,27,/opt/resq/resQ_outputs/work/Lang_22b/step2_slicing/_slicer4j_failing/testReducedFactory_int_int_f_L316_F_22/slice.log,
testReducedFactory_int_int_f_L319_F_23,org.apache.commons.lang3.math.FractionTest::testReducedFactory_int_int,org.apache.commons.lang3.math.FractionTest,testReducedFactory_int_int,f,319,Virtual_Pass,28,/opt/resq/resQ_outputs/work/Lang_22b/step2_slicing/_slicer4j_failing/testReducedFactory_int_int_f_L319_F_23/slice.log,
testReducedFactory_int_int_f_L320_F_24,org.apache.commons.lang3.math.FractionTest::testReducedFactory_int_int,org.apache.commons.lang3.math.FractionTest,testReducedFactory_int_int,f,320,Virtual_Pass,28,/opt/resq/resQ_outputs/work/Lang_22b/step2_slicing/_slicer4j_failing/testReducedFactory_int_int_f_L320_F_24/slice.log,
testReducedFactory_int_int_f_L325_F_25,org.apache.commons.lang3.math.FractionTest::testReducedFactory_int_int,org.apache.commons.lang3.math.FractionTest,testReducedFactory_int_int,f,325,Virtual_Pass,20,/opt/resq/resQ_outputs/work/Lang_22b/step2_slicing/_slicer4j_failing/testReducedFactory_int_int_f_L325_F_25/slice.log,
testReducedFactory_int_int_f_L326_F_26,org.apache.commons.lang3.math.FractionTest::testReducedFactory_int_int,org.apache.commons.lang3.math.FractionTest,testReducedFactory_int_int,f,326,Virtual_Pass,20,/opt/resq/resQ_outputs/work/Lang_22b/step2_slicing/_slicer4j_failing/testReducedFactory_int_int_f_L326_F_26/slice.log,
testReducedFactory_int_int_f_L336_F_27,org.apache.commons.lang3.math.FractionTest::testReducedFactory_int_int,org.apache.commons.lang3.math.FractionTest,testReducedFactory_int_int,f,336,Virtual_Fail,45,/opt/resq/resQ_outputs/work/Lang_22b/step2_slicing/_slicer4j_failing/testReducedFactory_int_int_f_L336_F_27/slice.log,
testReduce_result_L615_F_28,org.apache.commons.lang3.math.FractionTest::testReduce,org.apache.commons.lang3.math.FractionTest,testReduce,result,615,Virtual_Pass,21,/opt/resq/resQ_outputs/work/Lang_22b/step2_slicing/_slicer4j_failing/testReduce_result_L615_F_28/slice.log,
testReduce_result_L616_F_29,org.apache.commons.lang3.math.FractionTest::testReduce,org.apache.commons.lang3.math.FractionTest,testReduce,result,616,Virtual_Pass,21,/opt/resq/resQ_outputs/work/Lang_22b/step2_slicing/_slicer4j_failing/testReduce_result_L616_F_29/slice.log,
testReduce_result_L620_F_30,org.apache.commons.lang3.math.FractionTest::testReduce,org.apache.commons.lang3.math.FractionTest,testReduce,result,620,Virtual_Pass,25,/opt/resq/resQ_outputs/work/Lang_22b/step2_slicing/_slicer4j_failing/testReduce_result_L620_F_30/slice.log,
testReduce_result_L621_F_31,org.apache.commons.lang3.math.FractionTest::testReduce,org.apache.commons.lang3.math.FractionTest,testReduce,result,621,Virtual_Pass,25,/opt/resq/resQ_outputs/work/Lang_22b/step2_slicing/_slicer4j_failing/testReduce_result_L621_F_31/slice.log,
testReduce_result_L625_F_32,org.apache.commons.lang3.math.FractionTest::testReduce,org.apache.commons.lang3.math.FractionTest,testReduce,result,625,Virtual_Pass,32,/opt/resq/resQ_outputs/work/Lang_22b/step2_slicing/_slicer4j_failing/testReduce_result_L625_F_32/slice.log,
testReduce_result_L626_F_33,org.apache.commons.lang3.math.FractionTest::testReduce,org.apache.commons.lang3.math.FractionTest,testReduce,result,626,Virtual_Pass,32,/opt/resq/resQ_outputs/work/Lang_22b/step2_slicing/_slicer4j_failing/testReduce_result_L626_F_33/slice.log,
testReduce_result_L630_F_34,org.apache.commons.lang3.math.FractionTest::testReduce,org.apache.commons.lang3.math.FractionTest,testReduce,result,630,Virtual_Pass,33,/opt/resq/resQ_outputs/work/Lang_22b/step2_slicing/_slicer4j_failing/testReduce_result_L630_F_34/slice.log,
testReduce_result_L631_F_35,org.apache.commons.lang3.math.FractionTest::testReduce,org.apache.commons.lang3.math.FractionTest,testReduce,result,631,Virtual_Pass,33,/opt/resq/resQ_outputs/work/Lang_22b/step2_slicing/_slicer4j_failing/testReduce_result_L631_F_35/slice.log,
testReduce_result_L632_F_36,org.apache.commons.lang3.math.FractionTest::testReduce,org.apache.commons.lang3.math.FractionTest,testReduce,result,632,Virtual_Pass,32,/opt/resq/resQ_outputs/work/Lang_22b/step2_slicing/_slicer4j_failing/testReduce_result_L632_F_36/slice.log,
testReduce_result_L636_F_37,org.apache.commons.lang3.math.FractionTest::testReduce,org.apache.commons.lang3.math.FractionTest,testReduce,result,636,Virtual_Pass,39,/opt/resq/resQ_outputs/work/Lang_22b/step2_slicing/_slicer4j_failing/testReduce_result_L636_F_37/slice.log,
testReduce_result_L637_F_38,org.apache.commons.lang3.math.FractionTest::testReduce,org.apache.commons.lang3.math.FractionTest,testReduce,result,637,Virtual_Pass,39,/opt/resq/resQ_outputs/work/Lang_22b/step2_slicing/_slicer4j_failing/testReduce_result_L637_F_38/slice.log,
testReduce_result_L638_F_39,org.apache.commons.lang3.math.FractionTest::testReduce,org.apache.commons.lang3.math.FractionTest,testReduce,result,638,Virtual_Pass,38,/opt/resq/resQ_outputs/work/Lang_22b/step2_slicing/_slicer4j_failing/testReduce_result_L638_F_39/slice.log,
testReduce_result_L642_F_40,org.apache.commons.lang3.math.FractionTest::testReduce,org.apache.commons.lang3.math.FractionTest,testReduce,result,642,Virtual_Pass,16,/opt/resq/resQ_outputs/work/Lang_22b/step2_slicing/_slicer4j_failing/testReduce_result_L642_F_40/slice.log,
testReduce_result_L643_F_41,org.apache.commons.lang3.math.FractionTest::testReduce,org.apache.commons.lang3.math.FractionTest,testReduce,result,643,Virtual_Pass,16,/opt/resq/resQ_outputs/work/Lang_22b/step2_slicing/_slicer4j_failing/testReduce_result_L643_F_41/slice.log,
testReduce_result_L644_F_42,org.apache.commons.lang3.math.FractionTest::testReduce,org.apache.commons.lang3.math.FractionTest,testReduce,result,644,Virtual_Pass,9,/opt/resq/resQ_outputs/work/Lang_22b/step2_slicing/_slicer4j_failing/testReduce_result_L644_F_42/slice.log,
testReduce_result_L648_F_43,org.apache.commons.lang3.math.FractionTest::testReduce,org.apache.commons.lang3.math.FractionTest,testReduce,result,648,Virtual_Pass,19,/opt/resq/resQ_outputs/work/Lang_22b/step2_slicing/_slicer4j_failing/testReduce_result_L648_F_43/slice.log,
testReduce_result_L649_F_44,org.apache.commons.lang3.math.FractionTest::testReduce,org.apache.commons.lang3.math.FractionTest,testReduce,result,649,Virtual_Pass,19,/opt/resq/resQ_outputs/work/Lang_22b/step2_slicing/_slicer4j_failing/testReduce_result_L649_F_44/slice.log,
testReduce_Fraction_L650_F_45,org.apache.commons.lang3.math.FractionTest::testReduce,org.apache.commons.lang3.math.FractionTest,testReduce,Fraction,650,Virtual_Pass,10,/opt/resq/resQ_outputs/work/Lang_22b/step2_slicing/_slicer4j_failing/testReduce_Fraction_L650_F_45/slice.log,/opt/resq/resQ_outputs/work/Lang_22b/step2_slicing/_slicer4j_failing/testReduce_Fraction_L650_F_45_alias_f/slice.log;/opt/resq/resQ_outputs/work/Lang_22b/step2_slicing/_slicer4j_failing/testReduce_Fraction_L650_F_45_alias_f/slice.log
testReduce_result_L654_F_46,org.apache.commons.lang3.math.FractionTest::testReduce,org.apache.commons.lang3.math.FractionTest,testReduce,result,654,Virtual_Fail,35,/opt/resq/resQ_outputs/work/Lang_22b/step2_slicing/_slicer4j_failing/testReduce_result_L654_F_46/slice.log,
